"";"cod_ente";"anno";"codice_gestionale";"imp_uscite_att";"data_inc_siope";"data_esc_siope";"cod_fiscale";"descr_ente";"cod_comune";"cod_provincia";"num_abitanti";"sottocomparto_siope";"imp_per_cap"
"101";37203;2014;1621;3215,41;"2007-01-01";"9999-12-31";207780255;"COMUNE DI ARSIE'";4;25;2441;"COMUNE";1,32
"102";11117416;2014;1622;57581,2;"2007-01-02";"9999-12-31";203700257;"COMUNE DI SAN GREGORIO NELLE ALPI";45;25;1610;"COMUNE";35,76
"103";15887356;2014;1623;2937,25;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";5,69
"104";11116132;2014;1624;52,8;"2007-01-01";"9999-12-31";87640256;"COMUNE DI CORTINA D'AMPEZZO";16;25;5931;"COMUNE";0,01
"105";31822;2014;1699;20953,98;"2007-01-01";"9999-12-31";185970258;"COMUNE DI LOZZO DI CADORE";33;25;1485;"COMUNE";14,11
"106";29256313;2014;1701;98157,67;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";16359,61
"107";699011;2014;1711;20000;"2007-01-02";"9999-12-31";80000430258;"COMUNE DI FALCADE";19;25;2046;"COMUNE";9,78
"108";37019;2014;1712;5466,03;"2007-01-01";"9999-12-31";207190257;"COMUNE DI SAPPADA";52;25;1306;"COMUNE";4,19
"109";15887356;2014;1713;108395,61;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";210,07
"110";36672;2014;1714;61137,61;"2007-01-01";"9999-12-31";205960255;"COMUNE DI TRICHIANA";61;25;4877;"COMUNE";12,54
"111";11293;2014;1715;5918,48;"2007-01-01";"9999-12-31";103270252;"COMUNE DI LA VALLE AGORDINA";27;25;1139;"COMUNE";5,2
"112";29256313;2014;1716;22564,74;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";3760,79
"113";15887356;2014;1802;142483,42;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";276,13
"114";11117420;2014;1803;4000;"2007-01-01";"9999-12-31";204440259;"COMUNE DI TAMBRE";60;25;1438;"COMUNE";2,78
"115";11116132;2014;1804;78813,73;"2007-01-01";"9999-12-31";87640256;"COMUNE DI CORTINA D'AMPEZZO";16;25;5931;"COMUNE";13,29
"116";11116132;2014;1807;132671,53;"2007-01-01";"9999-12-31";87640256;"COMUNE DI CORTINA D'AMPEZZO";16;25;5931;"COMUNE";22,37
"117";31822;2014;1808;131026,11;"2007-01-01";"9999-12-31";185970258;"COMUNE DI LOZZO DI CADORE";33;25;1485;"COMUNE";88,23
"118";36972;2014;2092;5290,3;"2007-01-02";"9999-12-31";207040254;"COMUNE DI FONZASO";22;25;3286;"COMUNE";1,61
